time,x,y,z
57.723,0.020889,0.449051,-1.940872
57.811,-2.24707,-0.709229,-0.511826
57.911,-0.866882,-0.157043,-0.143188
58.012,0.722656,-0.196121,-0.150116
58.113,-0.834412,0.573257,-1.97879
58.208,-2.234039,0.131378,-0.523087
58.309,-0.68895,0.09317,-0.168793
58.41,0.544846,0.02655,-0.042465
58.51,-1.651703,-1.309372,-0.387283
58.606,-2.525101,-0.061249,-0.522263
58.706,-0.561768,-0.16423,-0.297501
58.807,0.272232,0.049255,0.012238
58.908,-3.038956,0.867538,0.056656
59.003,-1.838043,-0.516495,-0.361328
59.104,-0.063904,0.115097,-0.166779
59.205,0.13179,-0.155075,0.17836
59.305,-3.032074,2.156677,-1.337967
59.401,-1.48941,0.31543,-0.231583
59.502,0.289276,0.005341,-0.132462
59.602,0.00679,-0.302094,0.054321
59.703,-1.614426,-1.987732,-0.448685
59.799,-1.071152,-0.126587,-0.241013
59.899,0.866882,0.082916,0.105957
60.0,0.114685,0.590378,-1.935242
60.101,-2.293015,-0.460999,-0.629745
60.196,-1.057373,-0.103394,-0.13446
60.297,0.741684,-0.064514,-0.158386
60.397,-2.771744,1.265442,0.178375
60.498,-1.832687,-0.330032,-0.394485
60.594,-0.24762,0.157227,-0.141663
60.694,0.145721,0.130707,0.122574
60.795,-3.449265,2.640717,-1.56485
60.895,-1.375229,0.255234,-0.270233
60.991,0.465271,0.019653,-0.243683
61.092,0.004669,-0.10199,-0.025452
61.192,-1.515518,-0.883408,-0.81575
61.293,-0.941818,-0.074661,-0.252579
61.389,0.736679,0.159698,-0.118973
61.49,0.1138,0.3172,-1.830307
61.59,-1.628281,-0.777832,-0.723297
61.691,-0.823303,0.17189,-0.19249
61.786,0.949982,0.059067,-0.165192
61.887,-3.080124,1.440247,0.341202
61.988,-2.311462,-0.611099,-0.49794
62.098,-0.364334,0.180649,-0.218567
62.184,0.246414,0.018707,-0.092255
62.285,-3.877853,0.17662,-0.200058
62.385,-1.999237,0.517212,-0.467209
62.486,0.186203,-0.065964,-0.375214
62.581,0.025284,0.013229,0.065903
62.682,-2.493591,-2.931091,-0.815643
62.782,-1.272705,-0.873749,-0.18631
62.883,0.645004,0.305145,-0.3293
62.979,0.055984,-0.227356,-0.111465
63.079,-1.557327,1.396408,-0.703476
63.18,-1.020126,0.547882,-0.175095
63.28,0.923355,0.051376,-0.079346
63.376,-0.215347,0.327347,-0.769714
63.477,-1.930847,-0.040787,-0.971832
63.578,-0.810593,0.039322,-0.158768
63.679,0.782074,0.095642,0.036072
